Age,Department,Education,JobLevel,Gender,Experience,MonthlyIncome,OverTime,JobSatisfaction,MaritalStatus,Attrition
25,IT,Bachelor,1,Male,2,35000.0,Yes,3.0,Single,Yes
32,HR,Master,2,Female,7,52000.0,No,4.0,Married,No
28,IT,Bachelor,1,Male,4,41000.0,Yes,2.0,Single,Yes
41,Finance,Master,3,Female,15,78000.0,No,4.0,Married,No
29,Sales,Bachelor,2,Male,5,48000.0,Yes,2.0,Single,Yes
35,IT,Master,2,Female,9,62000.0,No,4.0,Married,No
26,HR,Bachelor,1,Female,3,38000.0,Yes,3.0,Single,Yes
38,Finance,Master,3,Male,12,71000.0,No,4.0,Married,No
31,Sales,Bachelor,2,Female,6,50000.0,Yes,2.0,Divorced,Yes
45,IT,Master,4,Male,20,95000.0,No,5.0,Married,No
27,Finance,Bachelor,1,Female,3,39000.0,Yes,2.0,Single,Yes
34,HR,Master,2,Male,8,58000.0,No,4.0,Married,No
30,IT,Bachelor,2,Female,5,47000.0,Yes,,Single,Yes
39,Sales,Master,3,Male,14,73000.0,No,4.0,Married,No
24,HR,Bachelor,1,Female,1,32000.0,Yes,2.0,Single,Yes
42,Finance,Master,3,Male,16,82000.0,No,5.0,Married,No
33,IT,Bachelor,2,Male,7,56000.0,Yes,3.0,Single,No
28,Sales,Bachelor,1,Female,4,43000.0,Yes,2.0,Single,Yes
36,HR,Master,3,Female,10,,No,4.0,Married,No
40,Finance,Bachelor,3,Male,13,69000.0,No,4.0,Married,No
23,IT,Bachelor,1,Male,1,30000.0,Yes,2.0,Single,Yes
37,Sales,Master,2,Female,11,64000.0,No,3.0,Married,No
29,,Bachelor,1,Male,4,42000.0,Yes,2.0,Single,Yes
44,IT,Master,4,Female,19,91000.0,No,5.0,Married,No
31,Finance,Bachelor,2,Male,6,51000.0,Yes,3.0,Divorced,Yes
26,HR,Bachelor,1,Female,2,36000.0,Yes,2.0,Single,Yes
35,IT,Master,3,Male,9,68000.0,No,4.0,Married,No
30,Sales,Bachelor,2,Female,5,49000.0,,2.0,Single,Yes
43,Finance,Master,4,Male,18,88000.0,No,5.0,Married,No
27,IT,Bachelor,1,Female,3,37000.0,Yes,3.0,Single,Yes
