Area_sqft,Bedrooms,Age_years,Distance_from_city_km,House_Price_Lakh
650,1,18,14,31
720,1,15,13,36
800,2,12,12,43
850,2,10,11,49
900,2,8,10,56
950,2,7,10,61
1000,2,6,9,68
1050,2,5,9,74
1100,2,5,8,81
1150,2,4,8,88
1200,3,5,7,96
1250,3,4,7,105
1300,3,4,6,115
1350,3,3,6,124
1400,3,3,6,134
1450,3,2,5,145
1500,3,2,5,157
1550,3,2,5,168
1600,3,2,4,181
1650,3,1,4,194
1700,3,1,4,208
1750,3,1,4,223
1800,4,2,3,239
1850,4,2,3,255
1900,4,1,3,272
1950,4,1,3,289
2000,4,1,3,307
2100,4,1,2,342
2200,4,0,2,379
2300,4,0,2,418
2400,4,0,2,458
2500,5,1,2,501
2600,5,1,2,545
2700,5,0,2,591
2800,5,0,1,640
2900,5,0,1,691
3000,5,0,1,744
3200,5,0,1,851
3400,5,0,1,969
3600,5,0,1,1098
3800,5,0,1,1238
4000,6,0,1,1390
4200,6,0,1,1555
4500,6,0,1,1830
4800,6,0,1,2140
5000,6,0,1,2375
