Age,Gender,Education,Employment_Type,Annual_Income,Credit_Score,City,Debt_Ratio,Employment_Years,Loan_Amount,Late_Payments,Existing_Loans,Property_Ownership,Savings,Interest_Rate,Loan_Purpose,Loan_Approved
23,Male,Bachelor,Private,42000,612,Pune,0.62,1.2,28500,4,3,Rent,6500,18.42,Personal,0
45,Female,Master,Government,115000,752,Mumbai,0.21,12.5,48000,0,1,Own,38500,8.21,Home,1
31,Male,Bachelor,Private,68000,645,Nashik,0.48,5.1,52000,2,3,Rent,14500,13.84,Business,0
52,Female,PhD,Government,158000,801,Pune,0.14,21.3,65000,0,1,Own,72000,6.94,Home,1
27,Male,Diploma,Contract,51000,598,Nagpur,0.71,2.4,42000,5,4,Rent,4200,20.15,Personal,0
39,Female,Master,Private,92000,688,Mumbai,0.35,9.2,61000,1,2,Own,26500,11.76,Car,1
48,Male,Bachelor,Private,134000,721,Pune,0.27,16.8,83000,1,2,Own,49000,9.72,Business,1
29,Female,Bachelor,Contract,59000,630,Nashik,0.56,3.7,47000,3,3,Rent,9100,15.94,Personal,0
55,Male,Master,Government,182000,810,Mumbai,0.12,26.4,72000,0,1,Own,91000,6.31,Home,1
34,Female,Bachelor,Private,73000,661,Pune,0.44,6.2,68000,2,4,Rent,11800,13.41,Education,0
42,Male,Master,Private,101000,704,Nagpur,0.31,11.7,55000,1,2,Own,34000,10.31,Car,1
25,Female,Diploma,Contract,39000,575,Nashik,0.77,0.8,36000,6,5,Rent,2800,22.34,Personal,0
37,Male,Bachelor,Private,87000,672,Pune,0.39,7.5,79000,2,3,Rent,19600,12.52,Business,0
50,Female,Master,Government,146000,765,Mumbai,0.18,19.6,92000,0,1,Own,61000,7.72,Home,1
30,Male,Bachelor,Private,62000,619,Nagpur,0.65,4.0,51000,4,4,Rent,7300,18.76,Personal,0
44,Female,Master,Private,109000,695,Pune,0.29,13.2,64000,1,2,Own,31500,10.02,Car,1
28,Male,Diploma,Contract,47000,605,Nashik,0.59,2.1,39000,3,4,Rent,5100,17.61,Personal,0
53,Female,PhD,Government,171000,789,Mumbai,0.16,24.1,78000,0,1,Own,82000,7.14,Home,1
36,Male,Bachelor,Private,81000,654,Pune,0.46,6.8,73000,3,3,Rent,13200,14.28,Business,0
41,Female,Master,Private,97000,713,Nagpur,0.33,10.4,59000,1,2,Own,29100,10.84,Car,1
26,Male,Diploma,Contract,45000,589,Nashik,0.69,1.5,41000,5,4,Rent,3500,19.87,Personal,0
49,Female,Master,Government,127000,742,Pune,0.24,17.2,70000,0,2,Own,53000,8.56,Home,1
33,Male,Bachelor,Private,76000,637,Mumbai,0.51,5.4,62000,3,3,Rent,10100,15.23,Business,0
57,Female,PhD,Government,198000,824,Mumbai,0.09,29.2,85000,0,0,Own,105000,5.72,Home,1
38,Male,Bachelor,Private,89000,679,Pune,0.42,8.3,76000,2,3,Rent,17400,13.16,Business,0
43,Female,Master,Private,113000,718,Nagpur,0.28,12.9,67000,1,2,Own,38200,9.88,Car,1
24,Male,Diploma,Contract,41000,601,Nashik,0.73,1.0,33000,5,5,Rent,2400,21.46,Personal,0
46,Female,Master,Government,121000,731,Pune,0.25,14.7,58000,0,1,Own,44700,8.93,Home,1
32,Male,Bachelor,Private,69000,648,Mumbai,0.55,4.8,72000,4,4,Rent,8500,16.71,Business,0
51,Female,Master,Government,153000,778,Mumbai,0.17,20.5,81000,0,1,Own,68000,7.36,Home,1
35,Male,Bachelor,Private,80000,667,Pune,0.47,7.0,69000,2,3,Rent,15500,14.02,Education,0
40,Female,Master,Private,99000,706,Nagpur,0.34,10.1,63000,1,2,Own,30700,10.67,Car,1
22,Male,Diploma,Contract,36000,562,Nashik,0.81,0.5,29000,7,5,Rent,1800,23.12,Personal,0
54,Female,PhD,Government,169000,795,Mumbai,0.13,25.7,74000,0,1,Own,79000,6.58,Home,1
47,Male,Master,Private,118000,724,Pune,0.30,15.3,86000,1,2,Own,42000,10.15,Business,1
29,Female,Bachelor,Contract,55000,625,Nashik,0.61,3.2,45000,4,4,Rent,6200,18.09,Personal,0
37,Male,Bachelor,Private,85000,658,Pune,0.49,6.9,81000,3,3,Rent,12600,14.86,Business,0
58,Female,PhD,Government,210000,831,Mumbai,0.08,31.0,90000,0,0,Own,118000,5.31,Home,1
44,Male,Master,Private,104000,690,Nagpur,0.37,11.9,77000,2,2,Own,27800,11.91,Car,1
31,Female,Bachelor,Private,64000,615,Pune,0.67,3.9,59000,4,4,Rent,6900,18.64,Personal,0
